,名称,区域,地址
0,菜鸟驿站(外滩柳市路店),区域：黄浦区 南浦大桥,地址：小东门街道柳市路115号
1,菜鸟驿站(重矿大厦店),区域：黄浦区 五里桥,地址：局门路620号(世博会博物馆地铁站3号口步行280米)
2,菜鸟驿站(全家中山东二路店),区域：黄浦区 城隍庙,地址：中山东二路88号外滩SOHO C座B2层
3,菜鸟驿站(上海市黄浦区徐家汇路618号店),区域：黄浦区 五里桥,地址：徐家汇路610号日月光中心广场C区B2层日月广场邮件收发室
4,菜鸟驿站(上海市黄浦区宁波路74弄店),区域：黄浦区 北京东路,地址：宁波路116-118号(可的便利)
5,菜鸟驿站(全家陆家浜路店),区域：黄浦区 制造局路,地址：陆家浜路1055号面包房全家便利
6,菜鸟驿站(全家重庆北路店),区域：黄浦区 北京东路,地址：重庆北路211号全家便利
7,菜鸟驿站(上海威海路161号后门店),区域：黄浦区 北京东路,地址：南京东路街道威海路161号后门
8,菜鸟驿站(上海普育西路174号店),区域：黄浦区 南浦大桥,地址：半淞园路街道普育西路174号
9,菜鸟驿站(上海蒙自西路64号店),区域：黄浦区 五里桥,地址：蒙西小区西北1门旁
10,菜鸟驿站(上海中山南路1724号店),区域：黄浦区 制造局路,地址：中山南路1726弄1-9号中山南路1726弄小区
11,菜鸟驿站(全家瑞金一路店),区域：黄浦区 淮海路,地址：瑞金一路108号(淮海中路地铁站3号口步行100米)
12,菜鸟驿站(上海望云路20-1店),区域：黄浦区 城隍庙,地址：老西门街道望云路20-1号
13,菜鸟驿站(上海江阴街39号店),区域：黄浦区 董家渡,地址：老西门街道江阴街39号
14,菜鸟驿站(上海中福花苑海潮路店),区域：黄浦区 南浦大桥,地址：半淞园路街道海潮路133号地上一层1031号商铺(生鲜超市入口扶梯旁向前20米)跆拳道馆对面
15,菜鸟驿站(全家斜土路八店1),区域：黄浦区 五里桥,地址：斜土路356号
16,菜鸟驿站(上海南昌路318号店),区域：黄浦区 淮海路,地址：南京东路街道南昌路318号
17,菜鸟驿站(全家西藏中路店),区域：黄浦区 北京东路,地址：西藏中路500号1楼B1室全家便利
18,菜鸟驿站(东方书报亭200003002),区域：黄浦区 北京东路,地址：黄河路336号新闸路口(东方书报亭邮政自提点)
19,菜鸟驿站(广西北路店),区域：黄浦区 北京东路,地址：广西北路257号喜事多便利店
20,菜鸟驿站(伍缘中山南一店),区域：黄浦区 制造局路,地址：中山南路1724号
21,菜鸟驿站(上海龙州路427号店),区域：徐汇区 梅陇,地址：凌云路街道龙州路427-1
22,菜鸟驿站(上海徐汇区华展路37号店),区域：徐汇区 华泾,地址：华泾镇华展路37号
23,菜鸟驿站(上海徐汇区东安路466号店),区域：徐汇区 枫林路,地址：枫林路街道东安路466号
24,菜鸟驿站(上海市田东路23号店),区域：徐汇区 龙华,地址：田东路漕溪四村西区东北3门旁
25,菜鸟驿站(上海虹漕南路99弄店),区域：徐汇区 虹梅路,地址：康健新村街道虹漕南路99弄7号楼居委会旁边
26,菜鸟驿站(上海徐汇区康健路115号新店),区域：徐汇区 田林,地址：康健路107号
27,菜鸟驿站(上海龙华西路机场新村10号店),区域：徐汇区 龙华,地址：龙华街道龙华西路机场新村10号楼
28,菜鸟驿站(上海长桥路97号店),区域：徐汇区 华泾,地址：长桥四村西北2门东80米
29,菜鸟驿站(上海梅苑二居店),区域：徐汇区 梅陇,地址：虹梅南路126弄343号
30,菜鸟驿站(上海天钥新村131号龙山菜场店),区域：徐汇区 龙华,地址：斜土路街道中山南二路天钥新村131号104号
31,菜鸟驿站(上师大桂林路100号),区域：徐汇区 康健,地址：上海师范大学
32,菜鸟驿站(上海徐汇嘉川路712号新店),区域：徐汇区 梅陇,地址：凌云路街道嘉川路712号
33,菜鸟驿站(上海徐汇区华发路112号店),区域：徐汇区 华泾,地址：长桥街道华发路112号
34,菜鸟驿站(钦州南路店),区域：徐汇区 康健,地址：康健新村街道钦州南路638号-7
